STT,Đánh giá
11,"Was a little skeptical at first, but this was 100 percent worth it. The phone itself looked brand new, and came with a chord and charger. Turned on and activated with no issues what so ever. I just needed to do a full reset. Phone came with a battery life of 86% so not to bad. Well worth it."
12,"I’ll preface this review by saying I am pretty picky when it comes to my possessions. My IPhone 7+ finally gave up the ghost. I was hoping to get through the remainder of this year so that when the IPhone 15 came out that I would get a renewed 14 Max Pro but that was not to be. We had purchased a renewed IPhone 12 for my son from another seller and were surprised with how clean it was when it arrived. We paid extra for the excellent condition and it was in pristine condition with a 100% battery max battery health.

Prime day comes along and I see this phone from this seller. It was roughly $200 more than the regular IPhone 12 that we bought for my son but it was the Pro model and it did have 512k of storage. Due to the positive experience we had with the earlier purchase, I decided to pull the trigger.

Fulfillment was great. I had ordered the phone on 7/11 and it was scheduled to arrive on 7/14 but to my surprise it hit my house on 7/13 which was a nice surprise.

When I picked up the package I got worried because I could hear and feel something rattling in the box that was shipped in a form fitting padded envelope. To my relief I found the phone to be intact. It arrived with protective plastic on the screen, a SIM port tool, and a lightning charging cable that was loose in the box. Upon inspection I found the screen to be free of scratches or gouges but there is some slight surface marring on a small section of the screen that you have to look for in order to see. The bezel was clean except for a couple of nicks. The worst sign of usage is a chip above the top of the highest camera lens. It’s not huge but you can definitely see it and it looks like a chip in a car windshield since the back of the phone is finished in glass. The only other thing to mention is that there was a bit of what looks like green metal tape that was poking out of the side of the phone between the screen and bezel which I was able to rub off with my fingernail. It looked like the refurb process was not as clean as it could have been.

Going into the settings I found that the max battery life was only 85% which was kind of a bummer. Setting up the phone was a breeze with ICloud but I haven’t figured out how to pull down the pictures that resided on my old phone. My apps came over but know I had to re-enter my passwords in most cases.

After only a couple of day usage, everything seems to work fine. Amazon gives 90 days to return for any issues. The camera on the pro is a definite improvement over the 7+. Size wise the unit is smaller than the 7+ but the screen is bigger on the 12 since it doesn’t have the home button at the bottom which I keep wanting to press out of habit.

Overall the purchase was better than ok. If the phone has another 10% of battery life and the nick on the camera was not present then I would rate the item as excellent. I’ll always wonder if I should have purchased a phone from the other seller that sold a phone in perfect condition. I will update this review should anything major happen with the phone."
13,"So far after a couple months the phone seems to work good but the battery life is terrible, it shows it has good battery health but dies really fast"
14,"The first one I received was DOA, the second one was absolutely perfect,no marks or scratches,battery was at 93%. change over was quick and easy."
15,"I ordered the phone and everything was great until I tried to transfer my service and it didn’t work , I thought okay maybe it’s just that service provider so I used a different one that still didn’t work . I looked in my settings only to find that it had a carrier lock on it, mind you i bought this fully unlocked. I emailed them to figure what the carrier was and I haven’t heard back for weeks . After I contacted the seller assistant they reached out and immediately fixed the issue and my phone is up and running perfectly!"
16,"The item is being returned. This was a good value for the price, but unfortunately, the SIM is not compatible with Verizon. I will not wait for Verizon to send a physical SIM card. The following statement, copied from the sales page, is not true: ""Fully unlocked and compatible with any carrier of choice (e.g., AT&T, T-Mobile, Sprint, Verizon, US-Cellular, Cricket, Metro, etc.).""57

Update... I was able to use this phone by activating on Mint Mobile. It does not work for Verizon but this will work as an alternative."
17,"The phone is in excellent condition, as described, but the SIM card tray is missing."
18,"Lo compré para mi mamá y el celular funciona muy bien, se que en celulares de segunda la calidad de batería nunca va a ser del 100%, pero el que compré me vino con un 82%, eso quiere decir que tendrá que cambiar de batería muy pronto, evité devolverlo ya que el proceso es largo, como celular secundario funciona, pero si quieres un celular principal deberías optar por algo más nuevo"
19,
20,"this is by far the best refurbished iphone ive purchased in my life . I n my opinion trademore has the best refurbished phone not only in the county , not only in the world , but the best in our galaxy. they are simply the best and the best customer servive as well. thank you for such a fantastic phone it just like new but half the price."
21,Cannot 5G signal
22,"I've recently uploaded my iPhone X to an iPhone 12 pro.
All good, except for the casing that had very minor scratches on the bottom, near the charging port, and the fact that it came with 84% battery life.
Not bad, but I was really hoping for at least 95% battery life.
Either way, I opted to keep it, instead of the hustle of returning and searching for another one."
23,The experience ordering used phones so far honestly has been satisfying. This iphone I ordered came in a box(not original obviously) properly secured along with a charge cable and block(not oem / original). I would safely say I would order again and do intend to!!!
24,"Upgrade my iPhone xr 64gb to a iPhone 12 Pro 512 gb
Went online and was able to switch over at no charge and transfer info from my other phone all in about 15 minutes. Thank you Mr Bezos"
25,"~Nearly cosmetically perfect
~No scratches on screen
~Battery health at 97%
~Everything works perfect
~The unboxing was just as satisfying as if it had been in a new Apple box
~I love it
~The only little thing I would mention is I feel like it could have been cleaned just a bit better- there was still some dust and lint in the nooks and crannies that I had to get myself, but that’s okay. Definitely worth it for everything else!"
26,"I bought the iphone 12pro 512gb in ‘good’ condition. The device arrived in mint condition with no visible scratches or signs or wear and no changed parts. Battery health 80% but i wanna believe thats what i paid for. Overall nice purchase!

P.S: a note to the seller, we are in 2024 so either include a decent fast charger or dont at all cz im just gonna through the extra slow cable away."
27,This was amazons own renewed product and came super clean and fully functional
28,"Phone is spotless. It came with 93% battery health. However, after 2 weeks it’s at 91% battery health."
29,Ive had the phone for about a month now and its pretty good the speakers sound weird at first but they either become normal or ive just gotten used to it. Will be updating as i go on
30,"Acabo de adquirir un 12pro de 256 renovado. Compre a Mobilesupply por su reputación y no fallaron. Llego impecable, parece nuevo. Aparece que le reemplazaron la tapa trasera. 86% de batería. Volvería a comprar sin dudar"
31,
32,"This phone was a gift for my son. The iphone 12 pro was beautiful, not a scratch. Everything worked great, so far so good 👍🏾 👌🏾."
33,"Came in great condition. No scratches, lagging, or any defects. I’ve been having the phone for about a month and it’s performing well. Also comes with a usb charger, block and some card remover."
34,My Grand Daughter was very impress and happy with it.
35,It just got here after a lil wait. Good looking phone in good shape looks just as shown just a couple of tiny nicks no big deal at all only thing I don’t like is that the battery is 80+ other than that . I’m pleased .
36,"Got it at a good price and working great. the shipping took more than a month, so I took one start out."
37,Son buenos pero creo que deberían tener mejor la batería
38,
39,My complaint is that the add said it has 8 gigs of RAM and only has 6. The sound is okay.
40,The phone has a big scratch I also had problems to start but know it’s working fine
41,good
42,"I successfully transitioned from my Android to this iPhone. However, I am still learning the many features of this phone. I have successfully added Apps with the exception of my Ecobee thermostat. Will tackle that App real soon with some assistance from Ecobee."
43,I can never afford the current iPhone but I recently upgraded to the 12 pro. I really like it. Works well!
44,"I am enjoying this refurbished iPhone. The price was right, and it perform like new. Easy to use and handle."
45,"BUen estado, un poco golpeado a los lados pero es mas estetico que otra cosa. Funciona perfecto y esta libre para trabajar en Colombia"
46,
47,"The phone comes in great condition. The only problem is the battery life. Be careful the description says the battery life is at least 80%. The phone comes in exactly 80%, which is a relatively low battery life and need to change battery ASAP."
48,Parece nuevo lo único que no me gustó que la condición de la batería vino en un 83 % el resto todo bien
49,
50,La bateria llego al 80%.
51,
52,"The delivery was fast. The phone was easy to set up. The only issue, is the battery only holds a charge for about 8 hours. That may be the result of my grand daughter on it all the time."
53,Phone was as advertised. It was totally unlocked and I was able to swap out my old SIM card from my iPhone 7 with no issues.
54,"El teléfono me ha salido muy bueno. No me costo transferir mis archivos de mi antiguo iPhone.
Solo traía un poco despegada la pantalla de una esquina, pero hay una persona que me ayudara a resolver ese pequeño detalle."
55,
56,I've had this phone for a few weeks now and have had no issues! The battery came with an 85% charge rate which was expected. I would highly recommend this product if you're looking to get an IPhone for a fraction of the price!
57,"The renewed model I received had no visible scratches or signs of wear, which was impressive.

In terms of performance, the iPhone operates smoothly and efficiently, meeting my expectations for speed and functionality. The renewed device handled apps, multitasking, and everyday tasks with ease, just like a new iPhone would.

However, there was one aspect that left me slightly disappointed: the battery life. Upon checking, the battery capacity was at 80% of its original capacity. While this is understandable for a renewed device, it did mean that I needed to charge it more frequently than I would with a new iPhone."
58,Got a really good deal on a brand new iPhone from Amazon. Someone must’ve opened the box and returned it new. Perfect condition and super happy with it.
59,"Excelente producto, lo pedí desde Panamá con mi casillero en Miami y llego en excelente estado. Compre dos productos al mismo tiempo y llegaron muy bien, tenemos 5 meses usándolos y han estado en perfecto estado. No llegan es caja original pero aún así esta bien empacado. Lo recomiendo al 100%"
60,
61,"Muy buen producto bien cuidado en exelente condiciones. Very good product in excellent condition, thank you"
62,"Looks practically new, and everything the seller said it would be. I've very happy with this phone, and have gone through a few issues with other sellers with refurbished phones. So, I'm glad I finally found this!

I contacted the seller about a question and was answered in a very reasonable amount of time, and was very helpful and accommodating!

I give 5 stars for sure!"
63,"I have bought refurbished phones for family, and very happy. This phone was perfect."
64,"love love love so much cheaper than buying brand new. the condition was perfect and it works great. been using it for about a month now, no concerns or problems."
65,"Iphone 12 pro had an excellent score rating and when it arrived it was in near perfect condition. Battery life at 87%. Been using it for 5 days with absolutely no hiccups or issues. I was reluctant to buy a used phone but this turned out to be a great experience and saved me a lot of money. Also, it was prime next day delivery and arrived on time all the way from NJ and I'm in CA so that was awesome. I am very pleased. Thank you BidAllies!"
66,"Here's a review for a refurbished iPhone 12 Pro with poor voice quality and a depleted battery:

Title: Buyer Beware: Refurbished iPhone 12 Pro Falls Short

If you're in the market for a refurbished iPhone 12 Pro, proceed with caution with the units gor sale here. My recent experience with a supposedly ""certified"" refurbished unit from a third-party seller has been nothing short of disappointing.

Let's start with the voice quality. Despite being touted as ""like new,"" the voice quality during calls is abysmal. Voices sound muffled, and there's a constant static noise that makes conversations a struggle. In an age where crystal-clear audio is expected, this issue is simply unacceptable.

But the problems don't stop there. The battery life on this refurbished unit is a joke. After a mere few hours of moderate use, the battery drains alarmingly fast, leaving you tethered to a power source. And to make matters worse, the battery health has already depleted to a dismal 88% – a far cry from the promised ""like new"" condition.

Perhaps the most frustrating aspect of this purchase is the lack of warranty coverage. Since the Apple warranty has expired, any issues that arise will be solely the responsibility of the new owner. That means costly repairs or replacement expenses down the line, effectively negating any potential savings from buying a refurbished device.

In conclusion, while the allure of a discounted refurbished iPhone 12 Pro is understandable, this particular unit fails to deliver on its promises. Poor voice quality, abysmal battery life, and the lack of warranty protection make this a purchase I cannot recommend. Unless you're willing to take a significant gamble, it's best to steer clear of this particular offering and explore alternative options."
67,
68,
69,No sirve el cargador es por eso estoy ocupando este cargador el teléfono funciona bien me gusto
70,
71,Not bad
72,good
73,Received in Excellent condition & the customer service was nice.
74,"The phone works perfectly, my nephew is so happy!"
75,Phone was received promptly and in great condition. We initially had some issues but the seller worked with us and issues were taken care of quickly and efficiently. Would do business again.
76,"Compré en estado ""Excellent"" y me llegó con 96% de batería y garantía de fábrica vigente por 3 meses... buena compra, todas las funciones operativas... buena compra"
77,
78,"I liked it, this is my very first iPhone. With it being a refurbished phone, I have not had any problems so far while using it. The scratches were very minimum. I put a case on so nothing shows anyway. I’m satisfied with purchase."
79,No scratches and good enough battery life
80,"Great deal and works well, battery health was 90% and dropped to 89% pretty quickly, and the speaker is canny, but otherwise satisfied it’s probably Apple’s greatest phone and I can always replace the battery plus who ever uses the speaker on their iPhone use AirPods it’s not 2010"
81,"The phone arrived looking great but the battery was totally dead. After the first 2 hours of charging, it looked like it was not going to take a charge and then it started registering charging. No problem getting it activated with my phone carrier. After 1 hr of watching a video it had 90% battery left. I switched it to just LTE and not 5G all the time because I'm concerned about the frequencies being harmful. Text and email work without a problem. I don't know why they put all the cameras in it and then when you take a photo, they don't look that good. The depth and definition is not there. It's ok. Really don't see that it is any better than the XS I was using, if anything the camera is not as good."
82,"I purchased the Apple iPhone 12 Pro from Amazon as a birthday gift for my wife, and it has exceeded all expectations! Amazon offered a special price during a sale, making it an irresistible deal.

From the moment my wife unboxed it, she was thrilled. The sleek design, vibrant Super Retina XDR display, and premium feel make it a standout device. The camera quality is phenomenal, capturing stunning photos and videos that rival professional cameras. My wife loves the new Night mode and the enhanced portrait shots.

Performance-wise, the A14 Bionic chip ensures everything runs smoothly, from everyday tasks to more demanding apps. The battery life is impressive, easily lasting through her busy day.

Additionally, the 5G capability future-proofs the phone, ensuring it’s ready for the next wave of technology.

Overall, this purchase has been a huge hit, making my wife’s birthday even more special. Thank you, Amazon, for the fantastic deal and fast delivery. Highly recommend the iPhone 12 Pro!!!"
83,This iphone 12 pro came in excellent condition and i was very impressed with the shipping speed. the camera is great and it charges very fast. it seems very durable and i was able to set it up and lock it pretty much as soon as i got it.
84,"TLDR: Small chip above charging port (So minimal I don't care), 86% Maximum Capacity for battery

Was skeptical buying a refurbished phone, after seeing majority of reviews were solid and comparing my options I realized this could be the best option. The phone works great, and aside from that one very small chip I notice nothing else wrong with it."
85,"No complaints, excellent purchase by"
86,I used for work
87,"great phone, battery will loved it was a bit better, but can't complain"
88,"The phone arrived with discharged battery, unusual for this type of device. Before transferring from old phone to new phone it needed an update, also unusual for this type of device. Renewed phones and computers are usually updated before sent to customer."
89,Great phone love the camera mostly bought it for the camera
90,The phone was in great condition for a decent price.
91,"This is the second iPhone I have purchased. iPhone 12 Pro. It arrived on time. Packaging is excellent. I fully charged phone and it was working perfectly soon after setup processes. Phone feels, looks and works as a brand new product. Connected and adapted both cellphone line and phone features."
92,"I never write reviews, but I had to because this phone is awesome. It’s better than I ever could’ve expected and I love it. Awesome awesome. Awesome."
93,"A very good device and within the warranty of Apple, I did not have any problem using the device because this device is renewed."
94,"Muy buenos; excelente el equipo recibido.. en muy buen estado; me ha ido muy bien con el tlf adquirido. Los recomiendo.

Excelentes los tiempos de entrega."
95,
96,I’m satisfied with the product and performance so far
97,good price for the condition. All glasses are perfect. Just the battery life is not so great.
98,"its great , a little bet of dent on the bot left of it , battery life 84% but everything is functional"
99,No issues and like new
100,Es muy funaional sigo teniendo ese producto y si funaiona miy bien
101,
102,
103,
104,I’ve had my refurbished phone for about a week now. I haven’t noticed any problems with performance of the phone. I went through a lot of reviews. I was hesitant on a refurbished phone because there were so many mixed reviews about Amazon refurbished phone. I am a huge Amazon fan tho. And kept going. And realized there are different companies within the Amazon refurbished products. Specifically the one called Hybrid IT. Had excellent reviews and I felt very confident and comfortable going through them. I purchased one that was specifically in “excellent” condition. It really is apart from the scratch across the screen. Initially I was disappointed but I have a screen protector on it and I can’t really see it. The camera and lens were the most important part for me: and the whole reason for getting a Pro. The camera was good and no scratches on lens. The battery health came at 82%. I was hoping for a little better battery health. But as long as it lasts I think it will be okay.
105,
106,
107,"So I waited approximately 2 and a half weeks before this item was shipped. The phone works perfect. Speaker works- people can hear me and I hear them. Audio is really loud. Camera works great, touch works, Face ID works. A little scratches but nothing major which is actually impressive. You’d have to definitely be looking for them to see. The battery however came at 81% which isn’t good in my opinion, could’ve been a solid 90% or 91% but it still works. Otherwise I have no complains or faults at all. Comes with a charger which charges the phone super fast. Value for money. At first I thought it was too small but I had a pro max version and the pro is a better fit for my small hands. Easy set up process. I have no complaints. If you always drop your phone, get a durable case and screen protector!!!"
108,Title says it all. I bought the phone to upgrade from an older iPhone and have it paid in full. Phone has been great and looks brand new.
109,Phone works great. 10 out of 10 for me.
110,"I’ve had problems with the phone. I would make a call, the party would answer, i could hear them when the answered, but they couldn’t hear me. Had to go on u tube and got it corrected. I hope it keeps working!
When i first got the phone, it worked fine."
111,Everyday good performance and reception my husband over the road truck driver no problems communicating with him
112,Works fine
113,"I’ve bought a iPhone 12 Pro 128gb in “good condition” the battery seems fine it’s at 84%, the performance is great, no heat issues, so far I have no bad issues with this phone it runs like a brand new phone I love it MCEsales"
114,"This phone was mint condition and very happy with it, I ordered two, an I13 pro as well and then one was bad with a cracked back and was rated the same as this one so some of the suppliers must not be Lalit in following the guidelines listed."
115,Received my refurbished phone and it was in excellent condition…no scratches and had a screen protector on it. Works the same as my original phone that I was replacing. Similar battery life.
116,"Clean,minimal scratches, works great with server"
117,"i recently received my phone today, and all i can say is that it is flawless, no scratches no nothing! however, when i was setting up with my phone i read that the battery health will be exactly at 80% or higher but i've received a 77% health battery. overall it is great and amazing and i would recommend for people who wants to save up money and being able to afford a phone :-)"
118,Exactamente para lo que lo quería
119,
